"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS2 ID","Trade Value","HS2","Relatedness","Distance","RCA","type"
"as","Asia","asirn","Iran",0.0722586324,1576,964859484,"Aluminum articles",0.3853285458,0.6146714542,5.1331299754,"Circle"
"as","Asia","asirq","Iraq",-0.8375131776,1576,45604345,"Aluminum articles",0.0143268965,0.9856731035,0.0313915039,"Circle"
"as","Asia","asisr","Israel",1.2252034342,1576,327793762,"Aluminum articles",0.3161348128,0.6838651872,0.3604524505,"Circle"
"as","Asia","asjor","Jordan",0.0489222373,1576,297759565,"Aluminum articles",0.3599628955,0.6400371045,1.5799723886,"Circle"
"as","Asia","asjpn","Japan",2.0723357955,1576,3104866587,"Aluminum articles",0.2758109138,0.7241890862,0.360726554,"Circle"
"as","Asia","askaz","Kazakhstan",-0.1723641554,1576,875194014,"Aluminum articles",0.173588372,0.826411628,0.7500049244,"Circle"
"as","Asia","askgz","Kyrgyzstan",-0.1177203169,1576,17763776,"Aluminum articles",0.4094432704,0.5905567296,0.6020633401,"Circle"
"as","Asia","askhm","Cambodia",-0.5988699552,1576,314604952,"Aluminum articles",0.2037164072,0.7962835928,0.7408396214,"Circle"
"as","Asia","askor","South Korea",1.7839126849,1576,5821966430,"Aluminum articles",0.2250314405,0.7749685595,0.6983839421,"Circle"
"as","Asia","askwt","Kuwait",0.4369239667,1576,208437708,"Aluminum articles",0.034388826,0.965611174,0.1737114889,"Circle"
"as","Asia","aslao","Laos",-0.7867741309,1576,6302170,"Aluminum articles",0.3289243386,0.6710756614,0.0569316332,"Circle"
"as","Asia","aslbn","Lebanon",0.3796172089,1576,83859923,"Aluminum articles",0.4631026032,0.5368973967999999,1.6073983706,"Circle"
"as","Asia","aslka","Sri Lanka",-0.3522709366,1576,63904655,"Aluminum articles",0.2778445065,0.7221554935000001,0.3657638915,"Circle"
"as","Asia","asmmr","Burma",-0.8367231199,1576,126126448,"Aluminum articles",0.2483958092,0.7516041908,0.3965885175,"Circle"
"as","Asia","asmng","Mongolia",-1.2561369348,1576,21137871,"Aluminum articles",0.086387939,0.913612061,0.1315814895,"Circle"
"as","Asia","asmys","Malaysia",1.0871716064,1576,7050288518,"Aluminum articles",0.1873090775,0.8126909225,1.5755909727,"Circle"
"as","Asia","asomn","Oman",-0.1892211433,1576,1557497043,"Aluminum articles",0.1651392144,0.8348607856,1.7249998381,"Circle"
"as","Asia","aspak","Pakistan",-0.4539527805,1576,155129340,"Aluminum articles",0.3424390329,0.6575609671,0.3398599394,"Circle"
"as","Asia","asphl","Philippines",0.7063217946,1576,353339157,"Aluminum articles",0.2003607747,0.7996392253,0.2712708962,"Circle"
"as","Asia","asqat","Qatar",-0.154180813,1576,2098507089,"Aluminum articles",0.0526300716,0.9473699284,1.4911363757,"Circle"
"as","Asia","assau","Saudi Arabia",0.7778167431,1576,3154580804,"Aluminum articles",0.0595112165,0.9404887835,0.7379012377,"Circle"
"as","Asia","assgp","Singapore",1.6765638884,1576,934728305,"Aluminum articles",0.150273618,0.8497263820000001,0.2085526497,"Circle"
"as","Asia","astha","Thailand",0.9555001578,1576,3434325451,"Aluminum articles",0.3894399066,0.6105600934,0.9309688919,"Circle"
"as","Asia","astjk","Tajikistan",-0.9120684526,1576,194647405,"Aluminum articles",0.1580490854,0.8419509145999999,6.8404785186,"Circle"
"as","Asia","astkm","Turkmenistan",-0.5585587261,1576,11496239,"Aluminum articles",0.0702152197,0.9297847803,0.0780139019,"Circle"
"as","Asia","astur","Turkey",0.596201603,1576,6736617562,"Aluminum articles",0.5618004554,0.4381995446,2.1718658795,"Circle"
"as","Asia","astwn","Chinese Taipei",1.9418262062,1576,2048940041,"Aluminum articles",0.10627546,0.89372454,0.319789006,"Circle"
"as","Asia","asuzb","Uzbekistan",-0.2834005266,1576,82472544,"Aluminum articles",0.2887612263,0.7112387737,0.4129005963,"Circle"
"as","Asia","asvnm","Vietnam",0.1986190279,1576,2572888777,"Aluminum articles",0.3086712617,0.6913287383,0.5456011395,"Circle"
"as","Asia","asyem","Yemen",-1.0461295748,1576,28012727,"Aluminum articles",0.2422143657,0.7577856343,1.3655876753,"Circle"
"eu","Europe","eualb","Albania",-0.2381970295,1576,132972635,"Aluminum articles",0.3256319658,0.6743680342,2.6134905609,"Circle"
"eu","Europe","euaut","Austria",1.4995377097,1576,5367749532,"Aluminum articles",0.4733897291,0.5266102709,2.1758238593,"Circle"
"eu","Europe","eubel","Belgium",1.2537987857,1576,3737208062,"Aluminum articles",0.4106586227,0.5893413773,0.6652480356,"Circle"
"eu","Europe","eubgr","Bulgaria",0.6844583437,1576,832877756,"Aluminum articles",0.4994848368,0.5005151632,1.3572833304,"Circle"
"eu","Europe","eubih","Bosnia and Herzegovina",0.6695443447,1576,843410667,"Aluminum articles",0.3382015792,0.6617984208000001,6.9660076815,"Circle"
"eu","Europe","eublr","Belarus",0.8233493949,1576,114076549,"Aluminum articles",0.375078841,0.624921159,0.93152525,"Circle"
