Date	Value
1960	2671.88414502955
1960	511.47183227539
1961	2620.89398959006
1961	511.47183227539
1962	2505.41998371683
1962	498.06039174398
1963	2555.93647606559
1963	498.79526519775
1964	2658.06647945263
1964	525.98563130697
1965	2703.54774949841
1965	540.1318359375
1966	2607.41680674756
1966	540.1318359375
1967	2584.69871971848
1967	540.1318359375
1968	2669.49800495428
1968	552.99208577474
1969	2696.31653897396
1969	588.44986979167
1970	2645.62073968159
1970	614.17045084635
1971	2572.01864882187
1971	627.94932047526
1972	2215.71320959815
1972	590.10331217448
1973	1939.69389079517
1973	599.10548909505
1974	2031.93586142251
1974	764.81943766276
1975	2077.45806635487
1975	868.4365641276
1976	2103.06351734006
1976	889.931640625
1977	2500.59686718984
1977	1143.83034261068
1978	2492.43455021185
1978	1324.92150878907
1979	2703.04427429802
1979	1602.86822509766
1980	2721.24245842062
1980	1774.91284179688
1981	1933.77137830719
1981	1262.73028564453
1982	1565.12222323855
1982	991.56666666667
1983	2332.32155878418
1983	1438.43333333333
1984	2074.59483217228
1984	1251.325
1985	1743.61984577221
1985	1040.725
1986	1675.05255089891
1986	1149.935
1987	2080.76059327645
1987	1565.36083333333
1988	3183.56692634532
1988	2550.45583333333
1989	2450.30745675792
1989	1951.25666666667
1990	1983.06310320296
1990	1639.445
1991	1589.73814222131
1991	1302.18833333333
1992	1503.15922224651
1992	1254.28333333333
1993	1319.52586907097
1993	1139.04916666667
1994	1763.74539460847
1994	1476.7825
1995	1964.37856260036
1995	1805.6575
1996	1669.82793276238
1996	1505.66083333333
1997	1861.37143401551
1997	1599.33
1998	1652.00657776371
1998	1357.46916666667
1999	1688.87772462046
1999	1361.09
2000	1947.13528573823
2000	1549.14083333333
2001	1885.1321058588
2001	1443.63416666667
2002	1783.71432346723
2002	1349.915
2003	1797.65605375534
2003	1431.29375
2004	2017.57144537222
2004	1715.541
2005	2164.5474154314
2005	1898.30808333333
2006	2857.66568442122
2006	2569.89875
2007	2764.51762199169
2007	2638.17916666667
2008	2501.98304645207
2008	2572.78916666667
2009	1725.92732738959
2009	1664.8295
2010	2173.117
2010	2173.117
2011	2162.6320845341
2011	2401.38666666667
2012	1835.51047159843
2012	2023.28319284294
2013	1682.61409425971
2013	1846.66896845003
2014	1725.09930715935
2014	1867.42
2015	1700.91022104152
2015	1664.68083333333
2016	1706.03176291255
2016	1604.18166666667
2017	2022.46291157022
2017	1967.65416666667
2018	2069.97349302965
2018	2108.475
2019	1803.86844926953
2019	1794.48833333333
2020	1740.53796390875
2020	1703.98666666667
2021	2260.3732480195
2021	2472.84833333333
2022	2303.12402440755
2022	2705.01916666667
2023	1976.98437043529
2023	2255.73916666667
