Date,Value
2010,2173.117
2011,2162.6320845341
2012,2023.28319284294
2013,1846.66896845003
2014,1867.42
2015,1700.91022104152
2016,1604.18166666667
2017,1967.65416666667
2018,2108.475
2019,1794.48833333333
2020,1703.98666666667
2021,2472.84833333333
2022,2705.01916666667
2023,2255.73916666667
